Player,Team,GP,Goals,Assists,Total Points,IPP,ixG,PIM,Giveaways,Takeaways,TOI,WAR,p/60
Zac Dalpe,CBJ,1,0,1,1,100,0.03,0,0,0,9,0,6.66666651
Matt Donovan,NSH,2,0,1,1,100,0.02,0,0,0,14.8,0,4.054054
Matt Bartkowski,MIN,2,1,0,1,50,0.03,0,0,0,21.4,0,2.80373836
Stefan Elliott,OTT,3,0,1,1,100,0.04,0,1,0,27,0.1,2.22222233
Justin Dowling,DAL,11,0,1,1,50,1.06,0,2,5,139.3,0.2,0.430725038
Brandon Davidson,CHI,10,0,1,1,33.33,0.35,5,2,2,137.9,-0.4,0.4350979
Kyle Rau,MIN,6,0,1,1,100,0.49,0,1,1,42.1,0.1,1.42517817
Cameron Schilling,WPG,4,0,1,1,50,0.04,0,3,0,48.4,-0.1,1.23966932
Jordan Schmaltz,STL,20,0,1,1,20,0.37,0,3,1,229.7,-0.6,0.2612103
Dominic Toninato,COL,2,1,0,1,100,0.26,0,1,0,13.4,0,4.477612
Dillon Heatherington,DAL,5,0,1,1,20,0.33,0,3,0,50.9,0.5,1.17878187
Daniel Carr,VGK,6,1,0,1,50,0.9,0,2,3,59,0.1,1.01694918
Sonny Milano,CBJ,8,1,0,1,33.33,0.47,0,1,0,66.6,0.1,0.9009009
Dante Fabbro,NSH,4,1,0,1,100,0.08,0,1,2,51,0,1.17647064
Ben Gleason,DAL,4,0,1,1,50,0.02,0,2,3,59.5,0.1,1.00840342
Jacob MacDonald,FLA,2,1,0,1,100,0.06,0,2,0,24.1,0,2.48962641
Zack MacEwen,VAN,4,0,1,1,100,0.35,0,4,0,28.7,0,2.09059238
Kailer Yamamoto,EDM,17,1,0,1,25,1.38,0,6,3,222,-0.3,0.270270258
Jaret Anderson-Dolan,L.A,5,0,1,1,50,0.29,0,2,2,58,0.1,1.03448272
Kristian Vesalainen,WPG,5,0,1,1,100,0.01,0,2,0,34.2,0,1.754386
Eeli Tolvanen,NSH,4,1,0,1,50,0.36,0,1,3,53.1,0.1,1.12994349
Alexandre Texier,CBJ,2,1,0,1,33.33,0.63,0,2,0,N/A,N/A,N/A
Calle Rosen,TOR,4,1,0,1,25,0.09,0,3,0,66.8,0,0.898203552
Daniel Brickley,L.A,4,0,1,1,50,0.03,0,2,0,51.2,0,1.171875
Jimmy Schuldt,VGK,1,0,1,1,50,0.03,0,1,0,21,0,2.857143
Derek MacKenzie,FLA,1,0,0,0,-,0,0,0,0,2.7,0,0
Chris Thorburn,STL,1,0,0,0,-,0,0,0,0,1.9,0,0
Patrick Eaves,ANA,7,0,0,0,0,0.9,0,3,1,97.2,-0.3,0
Lee Stempniak,BOS,2,0,0,0,-,0,0,1,3,15.6,0,0
Adam Cracknell,ANA,2,0,0,0,-,0.19,0,1,0,20.9,-0.1,0
Stephen Gionta,NYI,5,0,0,0,-,0.44,0,1,0,43.9,-0.2,0
Mark Letestu,CBJ,2,0,0,0,-,0.02,0,0,0,18.7,0,0
Paul Carey,"BOS, OTT",7,0,0,0,0,0.2,0,4,3,28.8,0.1,0
Anthony Peluso,CGY,4,0,0,0,-,0.02,5,1,2,16.4,0,0
Cameron Gaunce,T.B,2,0,0,0,0,0.09,0,2,2,31.3,0,0
Mark Alt,COL,2,0,0,0,-,0.04,0,0,0,19.8,0,0
Steven Fogarty,NYR,10,0,0,0,0,0.39,0,3,4,77.6,-0.1,0
Reid Boucher,VAN,1,0,0,0,-,0,0,0,0,5.5,0,0
Adam Clendening,CBJ,4,0,0,0,0,0.07,0,0,2,42.6,0,0
Ryan Murphy,"MIN, N.J",3,0,0,0,0,0.02,0,0,1,19.2,0,0
Matt Tennyson,BUF,4,0,0,0,0,0.07,0,3,0,43,-0.1,0
Trevor Carrick,CAR,1,0,0,0,-,0.01,5,0,0,11.5,0,0
Kevin Roy,ANA,3,0,0,0,-,0.27,0,2,1,39.1,0,0
Danny O'Regan,BUF,1,0,0,0,-,0.31,0,0,0,N/A,N/A,N/A
Anton Blidh,BOS,1,0,0,0,-,0,0,0,1,13.8,0,0
Tyrell Goulbourne,PHI,2,0,0,0,-,0.14,0,0,1,14.8,0,0
Laurent Dauphin,ARI,1,0,0,0,-,0.51,0,0,0,12.3,0,0
Curtis Lazar,CGY,1,0,0,0,-,0,0,0,0,4.8,0,0
Kerby Rychel,CGY,2,0,0,0,-,0.01,0,0,0,18.4,0,0
Dakota Mermis,ARI,1,0,0,0,0,0,0,0,0,11.3,0,0
Andreas Englund,OTT,3,0,0,0,-,0.01,10,2,0,40,0,0
Josh Jacobs,N.J,1,0,0,0,-,0.02,0,3,0,14.9,0,0
Nicolas Aube-Kubel,PHI,9,0,0,0,0,0.11,0,0,2,50.3,0.1,0
Dominic Turgeon,DET,4,0,0,0,-,0.07,0,0,1,50.4,-0.1,0
Louie Belpedio,MIN,2,0,0,0,0,0,0,0,0,26.3,0,0
Mark Friedman,PHI,1,0,0,0,-,0.01,0,0,0,12.6,0,0
Chase De Leo,ANA,1,0,0,0,0,0.25,0,0,0,12.5,0,0
Nelson Nogier,WPG,1,0,0,0,-,0.02,0,0,0,10.1,0,0
Anton Lindholm,COL,2,0,0,0,-,0.03,0,0,0,14.3,0,0
Joe Hicketts,DET,11,0,0,0,0,0.5,0,6,2,204.5,-0.5,0
Jack Rodewald,OTT,6,0,0,0,-,0.36,0,0,0,42.4,-0.1,0
Nikita Soshnikov,STL,5,0,0,0,0,0.11,0,1,0,35.8,-0.1,0
Anthony Richard,NSH,1,0,0,0,-,0,0,0,0,7.4,0,0
Jakub Zboril,BOS,2,0,0,0,-,0.07,0,2,0,21.9,0,0
Cooper Marody,EDM,6,0,0,0,-,0.53,0,0,5,41.5,-0.1,0
Guillaume Brisebois,VAN,8,0,0,0,0,0.17,0,7,2,88.1,0,0
