Player,Team,GP,Goals,Assists,Total Points,IPP,ixG,PIM,Giveaways,Takeaways
Lawson Crouse,ARI,66,10,7,17,68,8.51,11,20,23
Vladislav Gavrikov,CBJ,69,5,12,17,37.78,3.93,16,30,16
Brandon Tanev,PIT,68,6,11,17,77.27,5.88,8,33,27
Mikhail Sergachev,T.B,70,4,13,17,32.69,3.75,40,30,14
Michal Kempny,WSH,58,3,14,17,30.91,2.94,16,32,7
Ilya Kovalchuk,"L.A, MTL, WSH",46,6,10,16,64,6.46,12,20,10
Anton Stralman,FLA,69,4,12,16,28.57,3.65,8,39,35
Drew Doughty,L.A,67,1,15,16,38.1,2.5,26,63,12
Derek Stepan,ARI,70,7,9,16,57.14,8.73,10,24,28
Erik Haula,"CAR, FLA",48,8,8,16,59.26,7.19,14,22,15
Johan Larsson,BUF,62,5,11,16,53.33,5.73,18,18,22
Mark Pysyk,FLA,58,8,8,16,57.14,4.91,16,13,22
Nino Niederreiter,CAR,67,7,9,16,53.33,9.05,26,36,34
Boone Jenner,CBJ,70,7,9,16,57.14,11.65,20,20,19
Vladislav Namestnikov,"COL, NYR, OTT",65,8,8,16,57.14,7.89,34,27,21
Torey Krug,BOS,61,4,12,16,37.21,3.37,18,34,20
Jacob Trouba,NYR,70,3,13,16,39.02,5.43,29,56,30
Ben Hutton,L.A,65,4,12,16,37.21,3.87,12,31,12
Michael Raffl,PHI,58,6,10,16,66.67,5.58,12,22,16
MacKenzie Weegar,FLA,45,6,10,16,39.02,3.85,29,32,23
Brett Pesce,CAR,61,4,12,16,30.19,3.76,18,30,33
Alexander Wennberg,CBJ,57,4,12,16,69.57,3.84,8,21,15
Nick Ritchie,"ANA, BOS",48,7,9,16,66.67,7.62,33,17,9
Brandon Carlo,BOS,67,2,14,16,39.02,2.44,12,27,25
Denis Gurianov,DAL,64,12,4,16,57.14,9.5,9,21,24
Jakob Chychrun,ARI,63,7,9,16,33.33,4.09,26,42,22
Troy Stecher,VAN,69,5,11,16,36.36,2.55,30,25,16
Ryan Reaves,VGK,71,8,7,15,60,7.22,33,7,17
Erik Johnson,COL,59,2,13,15,34.88,3.71,10,24,28
Colton Sceviour,FLA,69,6,9,15,55.56,6.9,6,24,21
TJ Brodie,CGY,64,3,12,15,30.61,2.11,30,43,24
Derek Grant,"ANA, PHI",56,7,8,15,83.33,6.54,16,10,14
Mark Borowiecki,OTT,53,5,10,15,51.72,1.81,44,27,7
